overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %,P2O5 wt %,predicted_phases,salt_cation_loading,wf_volume_per_100g_salt,melting_temperature_value,cohesive_energy_value,bulk_modulus_value,has_no_salt_cations,has_no_phophates,has_unreacted_element,has_unreacted_waste_salt,has_binary_alkali_compounds,total_filter_score
Na0.85O2.25Fe1.05P0.1,42.5,52.5,5.0,22.461004650994543,71.48719265256909,6.051802696436359,0.61*NaFeO2 + 0.28*Fe2O3 + 0.11*Na3PO4,16.662864086434308,58.64003269477836,2154.2716305555614,4.987711277768801,143.9206763161191,False,False,False,False,True,-1
Na0.85O2.2Fe1.1P0.05,42.5,55.00000000000001,2.5,22.376365894201246,74.60913512057688,3.0144989852218735,0.74*NaFeO2 + 0.21*Fe2O3 + 0.05*Na3PO4,16.60007419244669,56.609792973248815,2166.408425000006,5.015190459915666,146.8340148656871,False,False,False,False,True,-1
Na0.85O2.15Fe1.15,42.5,57.49999999999999,0.0,22.29236262329957,77.70763737670042,0.0,0.85*NaFeO2 + 0.15*Fe2O3,16.537755738414926,54.579553251719254,2177.3315400000056,5.0399217238478435,149.45601956029824,False,True,False,False,False,-1
Na0.9O3.2P1.1,45.0,0.0,55.00000000000001,26.32174365282145,0.0,73.67825634717855,0.90*NaPO3 + 0.10*P2O5,19.526982155070645,83.01312538510959,2043.0970320000051,4.773749359890489,145.12725390435156,False,False,False,False,True,-1
Na0.9O3.15Fe0.05P1.05,45.0,2.5,52.5,26.212009470808816,3.751945336438147,70.03604519275304,0.95*NaPO3 + 0.05*Fe(PO3)3,19.44557503241855,81.75540753438332,2050.863490000005,4.987918202280663,145.9160224743216,False,False,False,False,True,-1
Na0.9O3.1Fe0.1P1,45.0,5.0,50.0,26.103186444107074,7.472737163033,66.42407639285993,0.89*NaPO3 + 0.11*NaFeP2O7,19.364843857140283,80.11033354615395,2061.7274805555608,4.9982236876993085,147.20603861629928,False,False,False,False,True,-1
Na0.9O3.05Fe0.15P0.95,45.0,7.5,47.5,25.995263271248604,11.162761890727353,62.841974838024036,0.71*NaPO3 + 0.21*NaFeP2O7 + 0.07*Na5P3O10,19.28478024515764,77.95348437851302,2073.087796428577,5.014359387214104,148.09511114643652,False,False,False,False,True,-1
Na0.9O3Fe0.2P0.9,45.0,10.0,45.0,25.888228836899113,14.82239956633894,59.28937159676194,0.40*NaFeP2O7 + 0.20*Na5P3O10 + 0.40*NaPO3,19.20537595047687,75.79663521087204,2093.5363650000054,5.043403646340736,149.69544170068352,False,False,False,False,True,-1
Na0.9O2.95Fe0.25P0.85,45.0,12.5,42.5,25.782072208041363,18.45202400304327,55.765903788915374,0.62*NaFeP2O7 + 0.25*Na4P2O7 + 0.13*Na5P3O10,19.12662286235744,73.86682398888104,2119.1240250000055,5.077324321588364,151.62321576845676,False,False,False,False,True,-1
Na0.9O2.9Fe0.3P0.8,45.0,15.0,40.0,25.676782630252415,22.052002907659308,52.27121446208828,0.43*Na4P2O7 + 0.43*NaFeP2O7 + 0.14*Na3Fe3(PO4)4,19.048513002550347,73.79606970610821,2112.61013928572,5.069364590711526,151.08203847183088,False,False,False,False,True,-1
Na0.9O2.85Fe0.35P0.75,45.0,17.5,37.5,25.572349524071715,25.62269800482892,48.80495247109937,0.43*Na3Fe3(PO4)4 + 0.52*Na4P2O7 + 0.05*NaFeP2O7,18.971038522603795,74.07656068531489,2100.041005952387,5.0566348622958435,150.1138851180032,False,False,False,False,True,-1
Na0.9O2.8Fe0.4P0.7,45.0,20.0,35.0,25.468762481457446,29.16446515817821,45.36677236036434,0.83*Na3Fe(PO4)2 + 0.17*Na3Fe3(PO4)4,18.894191701234153,66.83894094397205,2150.497370833339,5.120143242064216,154.6367798148663,False,False,False,False,False,0
Na0.9O2.75Fe0.45P0.65,45.0,22.5,32.5,25.366011262328698,32.67765448854597,41.95633424912532,0.79*Na3Fe(PO4)2 + 0.07*Na3Fe3(PO4)4 + 0.14*Fe2O3,18.817964941760962,64.68988546397243,2143.9589653571493,5.072544664615672,149.49035520171938,False,False,False,False,False,0
Na0.9O2.7Fe0.5P0.6,45.0,25.0,30.0,25.264085791190944,36.16261048936178,38.57330371944727,0.75*Na3Fe(PO4)2 + 0.25*Fe2O3,18.742350769603306,62.54082998397284,2139.0551612500058,5.036845731529263,145.63053674185915,False,False,False,False,False,0
Na0.9O2.65Fe0.55P0.55,45.0,27.500000000000004,27.500000000000004,25.162976153842585,39.619672139253545,35.21735170690386,0.44*Na3Fe(PO4)2 + 0.17*Na4P2O7 + 0.39*Fe2O3,18.66734182983668,63.311962170672395,2116.512042777784,4.970316129199075,139.18229516518232,False,False,False,False,True,-1
