,overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %
851,Na1.85O1.3P0.15,92.5,0.0,7.5,84.33890885516844,0.0
852,Na1.85O1.25Fe0.05P0.1,92.5,2.5,5.0,83.79210843849802,5.8348552386786094
853,Na1.85O1.2Fe0.1P0.05,92.5,5.0,2.5,83.25235256909559,11.594538783485786
854,Na1.85O1.15Fe0.15,92.5,7.5,0.0,82.71950598364995,17.280494016350044
855,Na1.9O1.2P0.1,95.0,0.0,5.0,89.2429137917396,0.0
856,Na1.9O1.15Fe0.05P0.05,95.0,2.5,2.5,88.64690429034772,6.01047324792948
857,Na1.9O1.1Fe0.1,95.0,5.0,0.0,88.05880288296962,11.941197117030384
858,Na1.95O1.1P0.05,97.5,0.0,2.5,94.4533921617204,0.0
859,Na1.95O1.05Fe0.05,97.5,2.5,0.0,93.80300915196564,6.196990848034348
860,Na2O1,100.0,0.0,0.0,100.0,0.0
