Na2O,B2O3,SiO2,K_W_Tc,gamma_Tc,H_prime_Tc
0.025,0.25,0.725,0.15353740082410663,0.4786826750215465,0.2422322790346584
0.025,0.275,0.7,0.15364639664114274,0.482170611746687,0.24861952172946172
0.025,0.3,0.675,0.15625721636947126,0.4846231242849948,0.24517898903727936
0.025,0.325,0.65,0.15373299518786085,0.48409091655118464,0.24693864525368395
0.025,0.35,0.625,0.156609107882277,0.48399687290686055,0.24726356491419682
0.025,0.375,0.6,0.1566914941537752,0.4839514540753319,0.24758002118662073
0.025,0.4,0.575,0.15128468511905205,0.48346241356749686,0.25104864838208407
0.025,0.425,0.55,0.15105570574408392,0.48403670708045105,0.25389662244836975
0.025,0.45,0.525,0.15095910398457255,0.48517140662825353,0.2556379292432744
0.025,0.475,0.5,0.1502637270732934,0.4850271802523672,0.25239267992126235
0.025,0.5,0.475,0.14970553043390203,0.4859904829409104,0.25086942970153314
0.025,0.525,0.45,0.14580264339348017,0.4845615456443001,0.2489653072545296
0.025,0.55,0.425,0.14757301343498283,0.48516393503287697,0.24800222064686184
0.025,0.575,0.4,0.14841226730749738,0.48519883687947085,0.25252139822021863
0.025,0.6,0.375,0.14624520539710278,0.48649082687768536,0.25016315935132866
0.025,0.625,0.35,0.14529222582106596,0.48412391401554766,0.2486274366279221
0.025,0.65,0.325,0.14523793212174407,0.4807474502336396,0.2400274913384713
0.025,0.675,0.3,0.14465593273841593,0.4810670310646747,0.24891031096727453
0.025,0.7,0.275,0.14488679289345838,0.48343797895584983,0.24874004719517445
0.025,0.725,0.25,0.1464698565191326,0.48271084891025345,0.24812258010813448
0.025,0.75,0.225,0.14708934230653362,0.48292000065082186,0.24591454535224946
0.025,0.775,0.2,0.1473660886549268,0.48294055621472587,0.2410778197374839
0.025,0.8,0.175,0.14543845280138668,0.48279373029730044,0.24226216535632827
0.025,0.825,0.15,0.14745726699229636,0.4825362890995132,0.24052753806314198
0.025,0.85,0.125,0.1464984586698024,0.4819436006493883,0.2470741915035745
0.025,0.875,0.1,0.1456690602992263,0.4789168715856898,0.23640727933751482
0.025,0.9,0.075,0.15135612846643517,0.5048148500694559,0.2337456895188159
0.025,0.925,0.05,0.1716843987795205,0.5164139834579471,0.2337647476339804
0.025,0.95,0.025,0.1743577754224106,0.515943427428365,0.2405970020592539
0.025,0.975,0.0,0.15347199699515557,0.5010430316084336,0.28674802761896695
