Na2O,B2O3,SiO2,Tg,Tc,Tx,Tliq,T_Umax,log_Umax,ViscosityAtTl,K_W_Tc,K_W_Tx,gamma_Tc,H_prime_Tx,K_H_Tc,H_prime_Tc,K_H_Tx,deltaT_rg,K_cr,Jezica,GFA
0.0,0.45,0.55,619.910000000001,955.3299999999987,981.3349999999987,1115.7799999999982,1464.6699999999973,-5.970627223007835,4.827840341171777,0.30061481654089356,0.32392138235135803,0.5504035858937939,0.5830281815102145,2.0904954814583907,0.5410785436595589,2.688274015396624,0.7288704700828841,0.27112952991711586,-1.2673168039368008,
0.0,0.475,0.525,600.300000000001,956.6599999999987,981.8799999999987,1102.429999999998,1462.3699999999974,-6.0050833010105205,4.7445041623155095,0.32324954872418055,0.3461262846620633,0.5618389292489115,0.6356488422455392,2.4446731151814465,0.5936365150757907,3.1653255910410625,0.75992272917372,0.24007727082628003,-1.3401978837077824,
0.0,0.5,0.5,598.960000000001,956.5299999999987,977.1649999999988,1097.2799999999982,1462.3699999999974,-5.934521882079496,4.605596768327013,0.325869422572177,0.3446750145815093,0.5639119464226756,0.6314361560037353,2.5404618117229076,0.5969847736075818,3.1486908379469676,0.7589601059560122,0.2410398940439878,-1.4750381585426862,
0.0,0.525,0.475,647.2100000000011,955.9499999999987,973.9349999999988,1068.4999999999982,1460.6899999999973,-5.905258253584284,4.661999249850229,0.2889471221338307,0.3057791296209624,0.5571745807857966,0.5048206918928898,2.7431363838294,0.4770321842987548,3.455030931105588,0.775534667331292,0.22446533266870805,-1.3955498031499456,
0.0,0.55,0.45,949.279999999999,961.8499999999987,968.2749999999988,1062.4899999999982,1461.1999999999973,-5.986022938157852,4.521319781296922,0.011830699583054646,0.01787781532061471,0.47811131491174436,0.02000990224169888,0.12490063593004538,0.01324161469745462,0.20161333121052935,0.16778553131348836,0.8322144686865116,-1.5313299211543505,
0.0,0.575,0.425,695.9600000000006,953.6249999999986,969.4449999999988,1063.5599999999984,1459.0399999999975,-5.994120214879559,4.305504365938548,0.24226653879423674,0.25714111098574466,0.5419801991452209,0.3929608023449594,2.3437940601264264,0.3702296108971748,2.9058598523083408,0.7439744287268767,0.2560255712731233,-1.7480196247653454,
0.0,0.6,0.4,599.540000000001,950.8449999999987,972.0149999999988,1081.5999999999983,1465.7899999999975,-6.083510235967948,3.944584566060224,0.32480122041419957,0.34437407544378557,0.5655953698085817,0.621267972111948,2.6867423807884867,0.5859575674683876,3.3989597116393635,0.7726735261170807,0.2273264738829193,-2.1235487911348963,
0.0,0.625,0.375,569.155000000001,947.2649999999988,968.9699999999989,1035.8699999999983,1476.6199999999974,-6.000817245782988,4.06488476898855,0.36501684574319027,0.3859702472317941,0.5901870687372467,0.702471207316104,4.267366401444616,0.6643357257688981,5.976307922272069,0.8566577033093006,0.14334229669069945,-1.965725742167308,
0.0,0.65,0.35,577.700000000001,941.2349999999989,963.9699999999989,1032.0199999999986,1446.6799999999973,-6.03726125744397,3.8634252428347566,0.3522557702370094,0.3742853820662375,0.5847197028054563,0.6686342392245063,4.004350939031767,0.6292799030638694,5.676267450404107,0.8502157069906672,0.1497842930093328,-2.163950984703971,
0.0,0.675,0.325,570.7650000000009,936.6349999999989,960.2049999999988,1031.6899999999985,1414.4199999999973,-5.930654732153902,3.6409856787275503,0.35463172076883415,0.3774777307136819,0.58450003276223,0.6823123351992454,3.8490347693440583,0.6410168808528859,5.447856193607046,0.8449096924662363,0.15509030753376374,-2.386112763307886,
