,Na2O,CaO,SiO2,Tliq_true,Tliq_pred
129,0.45,0.2,0.35,1476.8802999999998,1397.0799999999974
130,0.5,0.15,0.35,1451.875,1312.1899999999978
131,0.65,0.0,0.35,1374.9969,1292.4549999999977
132,0.0,0.6,0.4,2041.2388,2012.4299999999964
133,0.05,0.55,0.4,1850.4385000000002,1681.419999999997
134,0.1,0.5,0.4,1663.8346999999999,1669.6299999999972
135,0.15,0.45,0.4,1532.8334,1668.3899999999971
136,0.2,0.4,0.4,1440.2060000000001,1665.899999999997
137,0.25,0.35,0.4,1424.1662999999999,1640.9299999999969
138,0.3,0.3,0.4,1410.4879999999998,1587.1699999999971
139,0.35,0.25,0.4,1432.5425999999998,1457.0499999999975
140,0.4,0.2,0.4,1439.3781,1435.4599999999973
141,0.45,0.15,0.4,1429.2714,1310.1499999999976
142,0.5,0.1,0.4,1396.9024,1255.8399999999979
143,0.55,0.05,0.4,1324.6118000000001,1311.6499999999976
144,0.6,0.0,0.4,1377.9207999999999,1414.2349999999974
145,0.0,0.55,0.45,1783.3881999999999,1756.649999999997
146,0.05,0.5,0.45,1650.2676999999999,1704.5299999999968
147,0.1,0.45,0.45,1591.5344999999998,1660.8899999999971
148,0.15,0.4,0.45,1527.7557000000002,1583.059999999997
149,0.2,0.35,0.45,1458.9724999999999,1537.184999999997
150,0.25,0.3,0.45,1413.7755000000002,1546.3899999999971
151,0.3,0.25,0.45,1396.3759,1443.5799999999974
152,0.35,0.2,0.45,1386.3175999999999,1425.3649999999973
153,0.4,0.15,0.45,1373.9162000000001,1298.3799999999976
154,0.45,0.1,0.45,1329.5158000000001,1260.9299999999976
155,0.5,0.05,0.45,1307.1983999999998,1315.8999999999976
156,0.55,0.0,0.45,1323.8608,1309.9899999999977
157,0.0,0.5,0.5,1813.3375999999998,1808.2699999999968
158,0.05,0.45,0.5,1715.8901999999998,1695.5999999999967
159,0.1,0.4,0.5,1616.1970000000001,1632.229999999997
160,0.15,0.35,0.5,1543.9487,1473.4599999999973
161,0.2,0.3,0.5,1479.5414999999998,1505.989999999997
162,0.25,0.25,0.5,1397.6061,1470.6349999999975
163,0.3,0.2,0.5,1406.9791999999998,1413.6849999999974
164,0.35,0.15,0.5,1410.9935999999998,1311.2599999999977
165,0.4,0.1,0.5,1388.4015,1231.8799999999978
166,0.45,0.05,0.5,1339.7116999999998,1264.9599999999978
167,0.5,0.0,0.5,1372.0641,1361.4749999999976
168,0.0,0.45,0.55,1789.5495,1777.3649999999968
169,0.05,0.4,0.55,1735.7158,1663.419999999997
170,0.1,0.35,0.55,1661.0254,1573.519999999997
171,0.15,0.3,0.55,1567.7321000000002,1512.854999999997
172,0.2,0.25,0.55,1457.5540999999998,1450.7899999999975
173,0.25,0.2,0.55,1339.6019000000001,1459.7799999999975
174,0.3,0.15,0.55,1372.7291,1325.3799999999976
175,0.4,0.05,0.55,1315.5058,1248.0199999999977
176,0.45,0.0,0.55,1329.9326999999998,1300.4199999999976
177,0.0,0.4,0.6,1729.6143000000002,1725.8599999999967
178,0.1,0.3,0.6,1661.6212,1558.319999999997
179,0.15,0.25,0.6,1564.2163999999998,1465.6499999999974
180,0.2,0.2,0.6,1432.5688,1450.8749999999973
181,0.25,0.15,0.6,1285.0951,1305.7499999999977
182,0.4,0.0,0.6,1216.89789,1203.179999999998
183,0.0,0.35,0.65,1820.1803,1815.4599999999969
184,0.05,0.3,0.65,1682.6653999999999,1611.029999999997
185,0.1,0.25,0.65,1627.9935,1491.5449999999971
186,0.15,0.2,0.65,1507.3427000000001,1435.4999999999973
187,0.2,0.15,0.65,1339.897,1312.6199999999976
188,0.25,0.1,0.65,1224.8796,1241.3549999999977
189,0.3,0.05,0.65,1100.72885,1169.079999999998
190,0.35,0.0,0.65,1140.29082,1138.2699999999982
191,0.0,0.3,0.7,1931.5969999999998,1900.8399999999965
192,0.05,0.25,0.7,1646.4380999999998,1631.0540002441378
193,0.1,0.2,0.7,1571.5155,1480.7799999999975
194,0.15,0.15,0.7,1401.8354,1326.2299999999977
195,0.25,0.05,0.7,1091.84188,1063.7699999999984
196,0.3,0.0,0.7,1126.43988,1123.6649999999981
197,0.0,0.25,0.75,2026.4849,1915.1899999999964
198,0.05,0.2,0.75,1733.1095999999998,1637.5790002441377
199,0.1,0.15,0.75,1499.52,1499.6599999999974
200,0.15,0.1,0.75,1309.7087000000001,1342.0099999999977
201,0.2,0.05,0.75,1173.289,1106.4299999999982
202,0.25,0.0,0.75,1107.51759,1101.5149999999983
203,0.0,0.2,0.8,2102.8373,1966.2999999999965
204,0.05,0.15,0.8,1787.2934999999998,1625.259999999997
205,0.1,0.1,0.8,1579.9602,1543.749999999997
206,0.15,0.05,0.8,1431.208,1480.6699999999973
207,0.2,0.0,0.8,1362.7853999999998,1381.1599999999974
208,0.0,0.15,0.85,2151.2867,1950.2049999999965
209,0.1,0.05,0.85,1652.0054999999998,1578.249999999997
210,0.15,0.0,0.85,1594.3292999999999,1591.019999999997
211,0.0,0.1,0.9,2167.8885999999998,1964.5349999999964
212,0.05,0.05,0.9,1813.1225,1718.4599999999969
213,0.1,0.0,0.9,1757.9946,1763.8799999999967
214,0.0,0.05,0.95,2129.42,1949.4599999999964
215,0.05,0.0,0.95,1834.1702999999998,1853.2599999999968
216,0.0,0.0,1.0,1995.9859000000001,1723.8299999999972
