,CaO,Al2O3,SiO2,Tliq_true,Tliq_pred
73,0.1,0.75,0.15,2221.4997,2192.154999999996
74,0.05,0.8,0.15,2249.0285,2198.899999999996
75,0.0,0.85,0.15,2265.4542,2221.649999999996
76,0.8,0.0,0.2,2633.5852,2333.3499999999963
77,0.75,0.05,0.2,2413.0677,2207.359999999996
78,0.7,0.1,0.2,2020.051,1953.9999999999966
79,0.65,0.15,0.2,1938.5479,1879.3799999999967
80,0.6,0.2,0.2,1830.3067,1807.1349999999968
81,0.55,0.25,0.2,1831.3926999999999,1823.1849999999968
82,0.5,0.3,0.2,1859.1879,1845.3599999999967
83,0.45,0.35,0.2,1845.4631,1831.9599999999969
84,0.4,0.4,0.2,1878.4472,1823.5499999999968
85,0.35,0.45,0.2,1885.962,1864.7199999999968
86,0.3,0.5,0.2,1947.8276999999998,1911.1999999999964
87,0.25,0.55,0.2,2030.8701,2009.1799999999964
88,0.2,0.6,0.2,2105.1995,2092.9599999999964
89,0.15,0.65,0.2,2160.5868,2139.909999999996
90,0.05,0.75,0.2,2226.1207,2187.3349999999964
91,0.0,0.8,0.2,2241.0816,2235.909999999996
92,0.75,0.0,0.25,2514.5550000000003,2403.4199999999964
93,0.7,0.05,0.25,2195.7882,2056.2299999999964
94,0.65,0.1,0.25,2131.3081,1897.8899999999967
95,0.6,0.15,0.25,1952.944,1861.3799999999967
96,0.55,0.2,0.25,1847.0171999999998,1814.0799999999967
97,0.5,0.25,0.25,1868.1484999999998,1857.6199999999967
98,0.45,0.3,0.25,1846.8220999999999,1842.6299999999967
99,0.4,0.35,0.25,1831.9153000000001,1815.2199999999968
100,0.35,0.4,0.25,1848.6529,1829.0649999999969
101,0.3,0.45,0.25,1917.4645,1858.9499999999969
102,0.25,0.5,0.25,2008.1532000000002,1912.0849999999964
103,0.2,0.55,0.25,2080.3489,1969.4949999999965
104,0.15,0.6,0.25,2134.7877,2058.4549999999963
105,0.1,0.65,0.25,2173.5945,2105.924999999996
106,0.05,0.7,0.25,2199.0787,2147.3299999999963
107,0.0,0.75,0.25,2213.1938999999998,2179.5449999999964
108,0.7,0.0,0.3,2310.4577,2342.1199999999963
109,0.65,0.05,0.3,2286.3712,1995.8399999999965
110,0.6,0.1,0.3,2096.4877,1838.649999999997
111,0.55,0.15,0.3,1833.1192,1776.8199999999968
112,0.5,0.2,0.3,1852.652,1817.5899999999967
113,0.45,0.25,0.3,1830.3069999999998,1823.8799999999967
114,0.4,0.3,0.3,1764.3334,1799.6799999999969
115,0.3,0.4,0.3,1887.6601,1840.1749999999968
116,0.25,0.45,0.3,1975.6189,1861.669999999997
