Unnamed: 0,overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %,K_W_Tc,gamma_Tc,H_prime_Tc
18,Fe0.9O4.1P1.1,0.0,45.0,55.00000000000001,0.0,47.92908949593642,0.11666064441216274,0.4607269081976292,0.19570113654591081
19,Fe0.95O4.05P1.05,0.0,47.5,52.5,0.0,50.44257344568264,0.11570585028285266,0.4587662287285461,0.1810202670232984
20,Fe1O4P1,0.0,50.0,50.0,0.0,52.94127171692418,0.10950933242554799,0.4608196401301622,0.12289482810628626
21,Fe1.05O3.95P0.95,0.0,52.5,47.5,0.0,55.42531439314421,0.10294784712090528,0.45824455200788594,0.13841822617833865
22,Fe1.1O3.9P0.9,0.0,55.00000000000001,45.0,0.0,57.89483003633261,0.10118405727020362,0.4575290259773476,0.10679301172956038
23,Fe1.15O3.85P0.85,0.0,57.49999999999999,42.5,0.0,60.34994570916597,0.10086539566911167,0.45774927439070373,0.07962695379983063
24,Fe1.2O3.8P0.8,0.0,60.0,40.0,0.0,62.79078699680062,0.10201850866730018,0.46020900573360474,0.09531757232630932
25,Fe1.25O3.75P0.75,0.0,62.5,37.5,0.0,65.2174780282866,0.10543758031483258,0.4610225027881898,0.18824246522598856
26,Fe1.3O3.7P0.7,0.0,65.0,35.0,0.0,67.63014149761042,0.1052573689655149,0.459578393907294,0.18967254311503048
27,Fe1.35O3.65P0.65,0.0,67.5,32.5,0.0,70.02889868437376,0.10675351569405082,0.46040548787118524,0.18022127328923251
28,Fe1.4O3.6P0.6,0.0,70.0,30.0,0.0,72.41386947411581,0.1032325764566524,0.46308084219892004,0.1755723370474006
29,Fe1.45O3.55P0.55,0.0,72.5,27.500000000000004,0.0,74.78517237828609,0.10152412953613638,0.4620209904073648,0.17611810807761377
30,Fe1.5O3.5P0.5,0.0,75.0,25.0,0.0,77.142924553875,0.09992001557276213,0.4604693592505857,0.17358342684551986
31,Fe1.55O3.45P0.45,0.0,77.5,22.5,0.0,79.48724182270858,0.10478510206742402,0.4625819709486372,0.16504873813456078
32,Fe1.6O3.4P0.4,0.0,80.0,20.0,0.0,81.81823869041467,0.10326724677009208,0.45847014931570856,0.167004395133589
33,Fe1.65O3.35P0.35,0.0,82.5,17.5,0.0,84.1360283650664,0.10410595803955161,0.4589564474288706,0.1591439190013338
34,Fe1.7O3.3P0.3,0.0,85.0,15.0,0.0,86.44072277550984,0.10269365216992156,0.4540700581997912,0.15469710740790885
35,Fe1.75O3.25P0.25,0.0,87.5,12.5,0.0,88.73243258938186,0.10646129456732528,0.45178837296986857,0.15248426959877948
36,Fe1.8O3.2P0.2,0.0,90.0,10.0,0.0,91.0112672308243,0.10056681018939617,0.4425043300331623,0.1356166500799837
37,Fe1.85O3.15P0.15,0.0,92.5,7.5,0.0,93.27733489790032,0.0948105218517977,0.43976366711259546,0.13821398064277748
38,Fe1.9O3.1P0.1,0.0,95.0,5.0,0.0,95.53074257971907,0.1287064511055827,0.4593878156084067,0.13254374109131487
39,Fe1.95O3.05P0.05,0.0,97.5,2.5,0.0,97.77159607327388,0.15265348356409897,0.478283940463954,0.14315989565587212
40,Fe2O3,0.0,100.0,0.0,0.0,100.0,0.07256569596487855,0.4171601767023685,0.055084378612041116
41,Na0.05O4.9P1.95,2.5,0.0,97.5,1.1071986911478249,0.0,0.16395602824033195,0.471326550385022,0.3187976182477445
42,Na0.05O4.85Fe0.05P1.9,2.5,2.5,95.0,1.1037002371797564,2.8436741304336466,0.19315055939910247,0.4968961673421871,0.27702791653146086
43,Na0.05O4.8Fe0.1P1.85,2.5,5.0,92.5,1.100223821946947,5.669434353211629,0.19876817367632693,0.5113107087417775,0.25952126110338897
44,Na0.05O4.75Fe0.15P1.8,2.5,7.5,90.0,1.096769237851643,8.477449411545749,0.2079551564862424,0.517986562612463,0.25187667763436533
45,Na0.05O4.7Fe0.2P1.75,2.5,10.0,87.5,1.0933362798952688,11.26788593593957,0.20673322830323657,0.5259552748090731,0.2520689438458248
46,Na0.05O4.65Fe0.25P1.7,2.5,12.5,85.0,1.0899247456378751,14.040908477149802,0.20744242009029923,0.5234781969804324,0.24991954192815682
47,Na0.05O4.6Fe0.3P1.65,2.5,15.0,82.5,1.086534435158344,16.79667953853252,0.21660488881917736,0.5283660855199698,0.24886000916875262
48,Na0.05O4.55Fe0.35P1.6,2.5,17.5,80.0,1.0831651510153355,19.535359607787537,0.21794223284780037,0.5291410284418233,0.24039473990249813
49,Na0.05O4.5Fe0.4P1.55,2.5,20.0,77.5,1.0798166982089583,22.25710718811404,0.20193264061392874,0.5286678002953825,0.23552182364207577
50,Na0.05O4.45Fe0.45P1.5,2.5,22.5,75.0,1.0764888841431497,24.96207882879001,0.20061400306012733,0.5286897341515671,0.23046808412925607
51,Na0.05O4.4Fe0.5P1.45,2.5,25.0,72.5,1.0731815185887463,27.65042915518807,0.18610171328724515,0.5175573066303201,0.23059280627345463
52,Na0.05O4.35Fe0.55P1.4,2.5,27.500000000000004,70.0,1.0698944136472386,30.322310898239635,0.18289701708630168,0.5127449233406441,0.23574232913482082
53,Na0.05O4.3Fe0.6P1.35,2.5,30.0,67.5,1.0666273837151832,32.97787492335917,0.18115224853317308,0.5067685261644919,0.240215094937646
54,Na0.05O4.25Fe0.65P1.3,2.5,32.5,65.0,1.0633802454492718,35.61727025884034,0.1746000612509682,0.49754504315756803,0.23519416447340258
55,Na0.05O4.2Fe0.7P1.25,2.5,35.0,62.5,1.06015281773203,38.240644123734775,0.17143331451203384,0.49366792124015574,0.2585528666397651
56,Na0.05O4.15Fe0.75P1.2,2.5,37.5,60.0,1.056944921638143,40.84814195522489,0.17030404621084524,0.4875931074218519,0.26045677056650457
57,Na0.05O4.1Fe0.8P1.15,2.5,40.0,57.49999999999999,1.0537563804013903,43.43990743550116,0.16892399468921224,0.48581642026383,0.257184959620282
58,Na0.05O4.05Fe0.85P1.1,2.5,42.5,55.00000000000001,1.0505870193821756,46.016082518154384,0.14156691777807595,0.4799632839683359,0.25686668343704944
59,Na0.05O4Fe0.9P1.05,2.5,45.0,52.5,1.0474366660356411,48.576807454093135,0.1369494568584827,0.472820890812119,0.24166068115845443
60,Na0.05O3.95Fe0.95P1,2.5,47.5,50.0,1.0443051498803555,51.122220816996176,0.136465147851478,0.4720997758866644,0.15604158411795382
61,Na0.05O3.9Fe1P0.95,2.5,50.0,47.5,1.0411923024675598,53.65245952830986,0.13637565950914923,0.47184787894909136,0.12851013038253847
62,Na0.05O3.85Fe1.05P0.9,2.5,52.5,45.0,1.0380979573509637,56.1676588817996,0.13352984518877914,0.46983839926917964,0.11452339358742805
63,Na0.05O3.8Fe1.1P0.85,2.5,55.00000000000001,42.5,1.0350219500570772,58.66795256766495,0.13445015657482787,0.4701959840181693,0.11639646369064169
64,Na0.05O3.75Fe1.15P0.8,2.5,57.49999999999999,40.0,1.031964118056068,61.153472696227205,0.1355437373074165,0.47039704031003404,0.12212234794555321
65,Na0.05O3.7Fe1.2P0.75,2.5,60.0,37.5,1.0289243007331372,63.624349821198365,0.1359459511241083,0.47242623552867713,0.13348646015787838
66,Na0.05O3.65Fe1.25P0.7,2.5,62.5,35.0,1.025902339360393,66.08071296253992,0.1336990716778237,0.47225234822423795,0.13625323187345983
67,Na0.05O3.6Fe1.3P0.65,2.5,65.0,32.5,1.0228980770692266,68.52268962892025,0.13498125121328627,0.4735115896230902,0.14790158561429023
68,Na0.05O3.55Fe1.35P0.6,2.5,67.5,30.0,1.019911358823165,70.9504058397783,0.1300449386956512,0.47266513167060403,0.15056896961165436
69,Na0.05O3.5Fe1.4P0.55,2.5,70.0,27.500000000000004,1.0169420313912032,73.36398614700205,0.13001181512221346,0.4720014808188821,0.14906759050355392
70,Na0.05O3.45Fe1.45P0.5,2.5,72.5,25.0,1.0139899433215962,75.76355365622938,0.13244617487929727,0.4716529016083164,0.14961771893749287
71,Na0.05O3.4Fe1.5P0.45,2.5,75.0,22.5,1.0110549449161113,78.1492300477788,0.13439060549300083,0.4669838584145025,0.14637254267343391
72,Na0.05O3.35Fe1.55P0.4,2.5,77.5,20.0,1.0081368882047212,80.52113559721806,0.1345721763098841,0.4654146485117208,0.1439836037323599
73,Na0.05O3.3Fe1.6P0.35,2.5,80.0,17.5,1.0052356269207383,82.87938919557736,0.13541148039106315,0.4626167960525308,0.15052288539371392
74,Na0.05O3.25Fe1.65P0.3,2.5,82.5,15.0,1.0023510164763747,85.22410836921448,0.12524718157120146,0.45919084616284617,0.14992273009262905
75,Na0.05O3.2Fe1.7P0.25,2.5,85.0,12.5,0.9994829139387216,87.55540929933923,0.12758316610934287,0.4559027757522849,0.15123735025465446
76,Na0.05O3.15Fe1.75P0.2,2.5,87.5,10.0,0.996631178006142,89.87340684120315,0.1254373431257722,0.45153158279695793,0.14939275946957742
77,Na0.05O3.1Fe1.8P0.15,2.5,90.0,7.5,0.9937956689850634,92.17821454296202,0.12194008663646949,0.4476998592824304,0.1475022788264412
78,Na0.05O3.05Fe1.85P0.1,2.5,92.5,5.0,0.9909762487671696,94.4699446642172,0.13609900719678478,0.46145526864399433,0.149314507286781
79,Na0.05O3.0Fe1.9P0.05,2.5,95.0,2.5,0.9881727808069756,96.74870819424208,0.14815761268205932,0.47394741258998146,0.14628836260547565
80,Na0.05O2.95Fe1.95,2.5,97.5,0.0,0.9853851300997836,99.0146148699002,0.09000134106255858,0.4460281530936957,0.08230284188353884
81,Na0.1O4.8P1.9,5.0,0.0,95.0,2.246488792870331,0.0,0.16532360255883066,0.480471785625031,0.3325033840022529
82,Na0.1O4.75Fe0.05P1.85,5.0,2.5,92.5,2.2392879444826224,2.8847530261425787,0.19502222589655333,0.495540899492154,0.2867578484163742
83,Na0.1O4.7Fe0.1P1.8,5.0,5.0,90.0,2.2321331114969927,5.7510716868810166,0.20656097540186702,0.5097975908368744,0.26310053820406243
84,Na0.1O4.65Fe0.15P1.75,5.0,7.5,87.5,2.2250238542416385,8.59913212042856,0.21015051959416947,0.5243475493912609,0.2586908856992508
85,Na0.1O4.6Fe0.2P1.7,5.0,10.0,85.0,2.217959738628322,11.429108228149277,0.20769551827345706,0.5241775873906166,0.24424896762759438
86,Na0.1O4.55Fe0.25P1.65,5.0,12.5,82.5,2.2109403360640183,14.24117170995394,0.21001613540957578,0.5225819622994912,0.2503438499315046
87,Na0.1O4.5Fe0.3P1.6,5.0,15.0,80.0,2.2039652233642326,17.03549209902598,0.21522250796106973,0.530309760430077,0.25128071590295464
88,Na0.1O4.45Fe0.35P1.55,5.0,17.5,77.5,2.197033982667956,19.81223679589213,0.22051229296955266,0.5310902034085135,0.2464319979593277
89,Na0.1O4.4Fe0.4P1.5,5.0,20.0,75.0,2.190146201354214,22.571571101852182,0.20429837460740694,0.527184294582281,0.24191558696927704
90,Na0.1O4.35Fe0.45P1.45,5.0,22.5,72.5,2.183301471960193,25.31365825178197,0.19183652965571216,0.5200629981240033,0.24692680456423466
91,Na0.1O4.3Fe0.5P1.4,5.0,25.0,70.0,2.1764993921008804,28.038659446323035,0.1851699714575321,0.5142538059713571,0.25512643337145224
92,Na0.1O4.25Fe0.55P1.35,5.0,27.500000000000004,67.5,2.1697395643902144,30.74673388347256,0.18380232006891123,0.49919957533000847,0.24723674468508947
93,Na0.1O4.2Fe0.6P1.3,5.0,30.0,65.0,2.163021596363698,33.43803878958641,0.18059325768540865,0.49684412658499894,0.2527413745247677
94,Na0.1O4.15Fe0.65P1.25,5.0,32.5,62.5,2.156345100402437,36.11272944980794,0.17692335522972985,0.49270343593676263,0.2767589167317533
95,Na0.1O4.1Fe0.7P1.2,5.0,35.0,60.0,2.1497096936585915,38.770959237935074,0.1753540187390836,0.4853082378041117,0.285011098405164
96,Na0.1O4.05Fe0.75P1.15,5.0,37.5,57.49999999999999,2.1431149979821926,41.41287964573768,0.17251621198515046,0.4799838999827819,0.27892773759750206
97,Na0.1O4Fe0.8P1.1,5.0,40.0,55.00000000000001,2.1365606398493044,44.03864031173673,0.1527262297843179,0.47259788610314013,0.26828092273551285
98,Na0.1O3.95Fe0.85P1.05,5.0,42.5,52.5,2.1300462502915027,46.64838904945739,0.14294584645749273,0.47134177486802736,0.25529204595664357
99,Na0.1O3.9Fe0.9P1,5.0,45.0,50.0,2.123571464826631,49.24227187516637,0.14328918914402086,0.47162847953360754,0.21238157302785957
100,Na0.1O3.85Fe0.95P0.95,5.0,47.5,47.5,2.117135923390828,51.82043303510524,0.14438565924905983,0.47045865753744986,0.13042720730725377
101,Na0.1O3.8Fe1P0.9,5.0,50.0,45.0,2.110739270271776,54.38301503222992,0.13988167667742002,0.4686815526311967,0.12363149989832069
102,Na0.1O3.75Fe1.05P0.85,5.0,52.5,42.5,2.104381154043167,56.9301586524669,0.14030555310186343,0.46866345582917257,0.12242136826995656
103,Na0.1O3.7Fe1.1P0.8,5.0,55.00000000000001,40.0,2.0980612275003363,59.46200299049637,0.14071240190689666,0.4674377812151679,0.13447625604804503
104,Na0.1O3.65Fe1.15P0.75,5.0,57.49999999999999,37.5,2.0917791475970646,61.978685475072126,0.13857922090836788,0.46714266402134913,0.13619490036092463
105,Na0.1O3.6Fe1.2P0.7,5.0,60.0,35.0,2.0855345753835053,64.48034189388794,0.13771749588597537,0.47109866830417324,0.15223574200253207
106,Na0.1O3.55Fe1.25P0.65,5.0,62.5,32.5,2.079327175945221,66.96710641799987,0.13737989758013533,0.4703730451623279,0.16229899754425364
107,Na0.1O3.5Fe1.3P0.6,5.0,65.0,30.0,2.073156618343312,69.43911162581381,0.1373468303317027,0.4701598958847751,0.16249768880287918
108,Na0.1O3.45Fe1.35P0.55,5.0,67.5,27.500000000000004,2.067022575555594,71.89648852664695,0.13478053130836343,0.4682688646996159,0.160878250298704
109,Na0.1O3.4Fe1.4P0.5,5.0,70.0,25.0,2.060924724418832,74.33936658387246,0.1358191954892997,0.46687084401220297,0.16295006894271197
110,Na0.1O3.35Fe1.45P0.45,5.0,72.5,22.5,2.054862745571983,76.7678737376556,0.1394922770411665,0.46873714303569086,0.16253556585354542
111,Na0.1O3.3Fe1.5P0.4,5.0,75.0,20.0,2.0488363234004447,79.18213642728965,0.13689300582661018,0.46145918485681575,0.1630832109545146
112,Na0.1O3.25Fe1.55P0.35,5.0,77.5,17.5,2.0428451459812766,81.58227961314013,0.1360024130752953,0.4626415916836062,0.1694877995073524
113,Na0.1O3.2Fe1.6P0.3,5.0,80.0,15.0,2.036888905029382,83.96842679820503,0.13154619203587317,0.4614900500432786,0.17262019350482466
114,Na0.1O3.15Fe1.65P0.25,5.0,82.5,12.5,2.030967295844631,86.34070004929903,0.12934691093996986,0.453769032561915,0.16872489842172983
115,Na0.1O3.1Fe1.7P0.2,5.0,85.0,10.0,2.025080017259896,88.69922001786908,0.12669025365953016,0.44966001693040025,0.16846086465327337
116,Na0.1O3.05Fe1.75P0.15,5.0,87.5,7.5,2.01922677159,91.0441059604493,0.12266361497218334,0.4467596676617959,0.16351033408635682
117,Na0.1O3Fe1.8P0.1,5.0,90.0,5.0,2.0134072645815326,93.37547575876197,0.14265830047161074,0.46369818825013787,0.16085349042215025
118,Na0.1O2.95Fe1.85P0.05,5.0,92.5,2.5,2.007621205363547,95.69344593947176,0.1772524137485361,0.49835947514190204,0.1745994519095031
119,Na0.1O2.9Fe1.9,5.0,95.0,0.0,2.001868306399095,97.9981316936009,0.08616668637516095,0.44812933839546504,0.08084857778767639
120,Na0.15O4.7P1.85,7.5,0.0,92.5,3.4192860442701285,0.0,0.1641454394503617,0.48174467567740664,0.323785054366669
121,Na0.15O4.65Fe0.05P1.8,7.5,2.5,90.0,3.4081652887752703,2.9270361454595126,0.19473393970955213,0.5042509073135814,0.2705679096032116
122,Na0.15O4.6Fe0.1P1.75,7.5,5.0,87.5,3.3971166362174663,5.835094452313705,0.20347377339304565,0.5181617791631257,0.26025943474206575
123,Na0.15O4.55Fe0.15P1.7,7.5,7.5,85.0,3.386139387628783,8.724358892272429,0.21252845560988248,0.526324769629579,0.23412440674290574
124,Na0.15O4.5Fe0.2P1.65,7.5,10.0,82.5,3.3752328530466107,11.595011066801932,0.2067528925636714,0.5245880778297333,0.2330494593863801
125,Na0.15O4.45Fe0.25P1.6,7.5,12.5,80.0,3.364396351369093,14.447230245174277,0.2092126963087199,0.5245460821692005,0.24146019275198136
126,Na0.15O4.4Fe0.3P1.55,7.5,15.0,77.5,3.353629210213354,17.281193401786197,0.2223958823129197,0.532715223514235,0.23854247045990398
127,Na0.15O4.35Fe0.35P1.5,7.5,17.5,75.0,3.3429307657764094,20.097075252763595,0.21784637260225348,0.5282803342111003,0.23824253217445066
128,Na0.15O4.3Fe0.4P1.45,7.5,20.0,72.5,3.3323003626987613,22.89504829186768,0.19087942698773452,0.5130844133520314,0.24008141825557908
129,Na0.15O4.25Fe0.45P1.4,7.5,22.5,70.0,3.3217373539305663,25.6752828257181,0.18643969206974847,0.5053315173057872,0.2436964178153709
130,Na0.15O4.2Fe0.5P1.35,7.5,25.0,67.5,3.3112411006003533,28.43794700834845,0.18277201524080136,0.49485370887230884,0.24162208884182612
131,Na0.15O4.15Fe0.55P1.3,7.5,27.500000000000004,65.0,3.300810971886213,31.18320687510851,0.18407522172244234,0.49367462895740677,0.24835715168417685
132,Na0.15O4.1Fe0.6P1.25,7.5,30.0,62.5,3.290446344889421,33.91122637592784,0.17950837543647766,0.4887408202557203,0.264507964840929
133,Na0.15O4.05Fe0.65P1.2,7.5,32.5,60.0,3.2801466045104326,36.6221674079547,0.178608290952706,0.47840534145319674,0.28017352555810293
134,Na0.15O4Fe0.7P1.15,7.5,35.0,57.49999999999999,3.2699111433271986,39.31618984758377,0.16922604888290377,0.4728925450092671,0.26914634432358137
135,Na0.15O3.95Fe0.75P1.1,7.5,37.5,55.00000000000001,3.2597393614757504,41.99345158188619,0.16964791517199906,0.47463487555140055,0.2658400513574137
136,Na0.15O3.9Fe0.8P1.05,7.5,40.0,52.5,3.249630666533014,44.654108539454775,0.14226644917674527,0.4684226418539195,0.2611358820744318
137,Na0.15O3.85Fe0.85P1,7.5,42.5,50.0,3.2395844734017887,47.298314720677006,0.14156231004778624,0.4677503542596427,0.2430127043849361
138,Na0.15O3.8Fe0.9P0.95,7.5,45.0,47.5,3.229600204197857,49.92622222744838,0.1414494051244313,0.4677232614515692,0.1515523319271216
139,Na0.15O3.75Fe0.95P0.9,7.5,47.5,45.0,3.2196772881391778,52.53798129233782,0.1398487698734711,0.46664965490212884,0.16099764734385366
140,Na0.15O3.7Fe1P0.85,7.5,50.0,42.5,3.209815161437112,55.13374030721724,0.13838189290112468,0.4661257247684329,0.15813349387038195
141,Na0.15O3.65Fe1.05P0.8,7.5,52.5,40.0,3.200013267189644,57.71364585136634,0.13847799597188917,0.4683984475238841,0.15827275093940132
142,Na0.15O3.6Fe1.1P0.75,7.5,55.00000000000001,37.5,3.1902710552765514,60.27784271906429,0.1363014114673394,0.46837451725999507,0.16806056967745733
143,Na0.15O3.55Fe1.15P0.7,7.5,57.49999999999999,35.0,3.180587982256486,62.826473946678654,0.13576263975565492,0.466751043170705,0.17027422181917332
144,Na0.15O3.5Fe1.2P0.65,7.5,60.0,32.5,3.170963511265919,65.35968083926272,0.13430352226480857,0.4653681133855578,0.18124212850627938
145,Na0.15O3.45Fe1.25P0.6,7.5,62.5,30.0,3.161397111919924,67.87760299667126,0.13477177783031047,0.4679246654896649,0.18472717238668998
146,Na0.15O3.4Fe1.3P0.55,7.5,65.0,27.500000000000004,3.151888260214744,70.380378339205,0.13534419520035879,0.4679903470519011,0.18039042024394505
147,Na0.15O3.35Fe1.35P0.5,7.5,67.5,25.0,3.1424364384321084,72.86814313279373,0.1335939679335671,0.4658046961702304,0.18397569160612218
148,Na0.15O3.3Fe1.4P0.45,7.5,70.0,22.5,3.133041135045276,75.34103201372753,0.13423503730390315,0.4660019638544181,0.18245235605351995
149,Na0.15O3.25Fe1.45P0.4,7.5,72.5,20.0,3.123701844626749,77.79917801294592,0.13736000721773725,0.4672847358378124,0.18208920467519227
150,Na0.15O3.2Fe1.5P0.35,7.5,75.0,17.5,3.1144180677576427,80.24271257989352,0.13236825711121475,0.4635595967243262,0.1831360386607975
151,Na0.15O3.15Fe1.55P0.3,7.5,77.5,15.0,3.1051893109386524,82.6717656059519,0.13217013711312658,0.4643498366312408,0.18685330723489316
152,Na0.15O3.1Fe1.6P0.25,7.5,80.0,12.5,3.096015086502616,85.08646544745592,0.12605917474315526,0.4594236228769995,0.1805380969707227
153,Na0.15O3.05Fe1.65P0.2,7.5,82.5,10.0,3.0868949125286056,87.48693894830319,0.1261038303786576,0.45329861175478414,0.18289128728087786
154,Na0.15O3Fe1.7P0.15,7.5,85.0,7.5,3.0778283127575445,89.87331146216518,0.12099961487795449,0.4476989745597653,0.17815372872185822
155,Na0.15O2.95Fe1.75P0.1,7.5,87.5,5.0,3.0688148165093043,92.24570687430813,0.1654014431031501,0.4907997538684829,0.17745186412999842
156,Na0.15O2.9Fe1.8P0.05,7.5,90.0,2.5,3.0598539586012463,94.60424762303144,0.18696808323666744,0.5021445835870102,0.19064536753130137
157,Na0.15O2.85Fe1.85,7.5,92.5,0.0,3.0509452792682006,96.9490547207318,0.0883107636089772,0.44767386163835055,0.07944119995366665
158,Na0.2O4.6P1.8,10.0,0.0,90.0,4.627090702647455,0.0,0.16243580239365663,0.48039358251717096,0.3249511058548644
159,Na0.2O4.55Fe0.05P1.75,10.0,2.5,87.5,4.611817868574831,2.9705772286161887,0.19753530129439764,0.5079314673123538,0.2647503240706055
160,Na0.2O4.5Fe0.1P1.7,10.0,5.0,85.0,4.596645526184413,5.921608752655943,0.2073852957882952,0.5210882726246833,0.24453239352595302
161,Na0.2O4.45Fe0.15P1.65,10.0,7.5,82.5,4.581572686910759,8.853286848810097,0.21072057394670515,0.5260178827628978,0.22675110715656527
162,Na0.2O4.4Fe0.2P1.6,10.0,10.0,80.0,4.566598375112447,11.765801280037788,0.20860381646715606,0.5255987234095333,0.22650555928908347
163,Na0.2O4.35Fe0.25P1.55,10.0,12.5,77.5,4.551721627861565,14.659339336511763,0.2121446996809213,0.5258029016765157,0.2351809741965453
164,Na0.2O4.3Fe0.3P1.5,10.0,15.0,75.0,4.536941494737293,17.534085875765946,0.2143056507376146,0.5295569553585918,0.23253288519985793
165,Na0.2O4.25Fe0.35P1.45,10.0,17.5,72.5,4.5222570376235005,20.390223362063345,0.2103243244653365,0.5177167281691839,0.22833384505761412
166,Na0.2O4.2Fe0.4P1.4,10.0,20.0,70.0,4.5076673305102615,23.22793190500192,0.1870945360245367,0.5061380166029502,0.22930275182327278
167,Na0.2O4.15Fe0.45P1.35,10.0,22.5,67.5,4.493171459299193,26.0473892973755,0.18782217953202174,0.5001798899226291,0.22122592980101083
168,Na0.2O4.1Fe0.5P1.3,10.0,25.0,65.0,4.478768521612542,28.84877105230664,0.1841741683364093,0.4936477399332896,0.24255665998892234
169,Na0.2O4.05Fe0.55P1.25,10.0,27.500000000000004,62.5,4.46445762660594,31.632250439667427,0.18450876339257077,0.4937139287887393,0.2469090817332927
170,Na0.2O4Fe0.6P1.2,10.0,30.0,60.0,4.450237894784716,34.39799852180434,0.1737151981122296,0.47164390172021875,0.28442943899520173
171,Na0.2O3.95Fe0.65P1.15,10.0,32.5,57.49999999999999,4.436108457823733,37.146184188582616,0.16699157705610554,0.46936909084450484,0.2769089429898441
172,Na0.2O3.9Fe0.7P1.1,10.0,35.0,55.00000000000001,4.422068458390621,39.87697419176495,0.16418046467239747,0.4708020073251641,0.2693603355830082
173,Na0.2O3.85Fe0.75P1.05,10.0,37.5,52.5,4.408117049972383,42.590533178739705,0.14076671803628643,0.4680989785729908,0.2634573791509399
174,Na0.2O3.8Fe0.8P1,10.0,40.0,50.0,4.394253396705246,45.2870237256123,0.13825657414667974,0.4643815200095285,0.23915215195131234
175,Na0.2O3.75Fe0.85P0.95,10.0,42.5,47.5,4.380476673207737,47.966606369674494,0.13825657414667974,0.46412054083800264,0.15004158409420537
176,Na0.2O3.7Fe0.9P0.9,10.0,45.0,45.0,4.366786064416864,50.62943964126448,0.13686153938384457,0.46346625724389645,0.1610812975543926
177,Na0.2O3.65Fe0.95P0.85,10.0,47.5,42.5,4.35318076542739,53.27568009503162,0.13393494028382785,0.46369883248597255,0.16001217727357592
178,Na0.2O3.6Fe1P0.8,10.0,50.0,40.0,4.339659981334066,55.9054823406184,0.13114974948036592,0.4641818376596567,0.16754137098592398
179,Na0.2O3.55Fe1.05P0.75,10.0,52.5,37.5,4.326222927076834,58.51899907277247,0.12855685175061604,0.46398223849151676,0.17502663599752993
180,Na0.2O3.5Fe1.1P0.7,10.0,55.00000000000001,35.0,4.312868827288861,61.11638110090088,0.13019629766834756,0.46449561159485336,0.183646330083872
181,Na0.2O3.45Fe1.15P0.65,10.0,57.49999999999999,32.5,4.299596916147405,63.69777737807871,0.1299383194609275,0.46477472378490065,0.19548586907466095
182,Na0.2O3.4Fe1.2P0.6,10.0,60.0,30.0,4.286406437227413,66.26333502952379,0.12795057544629118,0.46421312917547397,0.1963027427643077
