,CaO,FeO,SiO2,Tliq_true,Tliq_pred
71,0.15,0.7,0.15,1530.2522,1600.219999999997
72,0.1,0.75,0.15,1487.5906,1592.769999999997
73,0.05,0.8,0.15,1352.3591000000001,1613.8799999999972
74,0.0,0.85,0.15,1412.0158999999999,1631.059999999997
75,0.8,0.0,0.2,2633.5852,2306.8899999999962
76,0.75,0.05,0.2,2521.1052,2047.6799999999964
77,0.7,0.1,0.2,2379.0175,2128.0799999999963
78,0.65,0.15,0.2,2183.4444,2067.5149999999967
79,0.6,0.2,0.2,1944.7961,1953.7899999999966
80,0.55,0.25,0.2,1936.205,1894.2999999999965
81,0.5,0.3,0.2,1891.2157000000002,1734.3499999999967
82,0.45,0.35,0.2,1823.5021000000002,1678.749999999997
83,0.4,0.4,0.2,1731.5257000000001,1626.049999999997
84,0.35,0.45,0.2,1622.8897000000002,1575.374999999997
85,0.3,0.5,0.2,1492.4802,1573.549999999997
86,0.25,0.55,0.2,1452.0288999999998,1593.019999999997
87,0.2,0.6,0.2,1426.1010999999999,1591.039999999997
88,0.15,0.65,0.2,1370.0164,1597.029999999997
89,0.05,0.75,0.2,1380.8878,1569.3799999999972
90,0.0,0.8,0.2,1435.4850000000001,1570.289999999997
91,0.75,0.0,0.25,2514.5550000000003,2402.8699999999963
92,0.7,0.05,0.25,2335.6139000000003,2115.1799999999967
93,0.65,0.1,0.25,2115.1838,2092.9499999999966
94,0.6,0.15,0.25,2089.921,2061.6599999999967
95,0.55,0.2,0.25,2002.4325,1919.8599999999965
96,0.5,0.25,0.25,1895.1277999999998,1731.2199999999968
97,0.45,0.3,0.25,1768.9569000000001,1679.1899999999969
98,0.4,0.35,0.25,1626.7076000000002,1595.709999999997
99,0.35,0.4,0.25,1478.4492999999998,1563.2949999999971
100,0.3,0.45,0.25,1411.1571,1536.4099999999971
101,0.25,0.5,0.25,1366.6102999999998,1553.779999999997
102,0.2,0.55,0.25,1360.4141,1574.509999999997
103,0.15,0.6,0.25,1335.0032999999999,1588.679999999997
104,0.1,0.65,0.25,1369.1183,1582.1299999999972
105,0.05,0.7,0.25,1417.8624,1562.049999999997
106,0.0,0.75,0.25,1461.6986000000002,1500.289999999997
107,0.7,0.0,0.3,2310.4577,2340.339999999996
108,0.65,0.05,0.3,2296.9479,2050.0799999999963
109,0.6,0.1,0.3,2170.3008,2020.1399999999965
110,0.55,0.15,0.3,2020.0414999999998,1810.3949999999968
111,0.5,0.2,0.3,1859.4310999999998,1701.2799999999968
112,0.45,0.25,0.3,1673.5605,1653.729999999997
113,0.4,0.3,0.3,1499.7514,1577.3799999999972
114,0.3,0.4,0.3,1402.5075000000002,1518.969999999997
115,0.25,0.45,0.3,1387.8727,1530.0799999999972
116,0.2,0.5,0.3,1367.7615,1500.6399999999971
117,0.15,0.55,0.3,1364.9116,1590.8999999999971
118,0.05,0.65,0.3,1447.0221000000001,1549.009999999997
119,0.0,0.7,0.3,1480.2350000000001,1472.2799999999975
120,0.65,0.0,0.35,2387.8735,2173.699999999996
121,0.6,0.05,0.35,2182.074,1975.0299999999966
122,0.55,0.1,0.35,1987.2712000000001,1759.0599999999968
123,0.5,0.15,0.35,1767.5830999999998,1686.7499999999968
124,0.45,0.2,0.35,1552.0693,1632.5999999999972
125,0.4,0.25,0.35,1509.9076,1520.469999999997
126,0.3,0.35,0.35,1417.9992000000002,1483.7599999999975
127,0.25,0.4,0.35,1399.0196999999998,1439.8699999999974
128,0.2,0.45,0.35,1365.6992,1422.4799999999973
129,0.15,0.5,0.35,1394.4751999999999,1431.8999999999974
130,0.0,0.65,0.35,1483.1788999999999,1478.4999999999973
131,0.6,0.0,0.4,2041.2388,2009.2899999999966
132,0.55,0.05,0.4,1803.0558999999998,1728.9499999999969
133,0.5,0.1,0.4,1641.1697,1700.0299999999968
134,0.45,0.15,0.4,1585.2053,1607.269999999997
135,0.4,0.2,0.4,1547.4220999999998,1567.4099999999971
136,0.35,0.25,0.4,1513.8332999999998,1520.934999999997
137,0.3,0.3,0.4,1470.3409000000001,1483.9099999999974
138,0.25,0.35,0.4,1413.5826000000002,1432.3749999999973
139,0.2,0.4,0.4,1363.7561999999998,1383.6099999999974
140,0.15,0.45,0.4,1399.5554000000002,1402.8499999999974
141,0.1,0.5,0.4,1429.3667999999998,1411.3499999999974
142,0.05,0.55,0.4,1452.4886999999999,1541.319999999997
143,0.0,0.6,0.4,1468.6327,1475.2899999999975
144,0.55,0.0,0.45,1783.3881999999999,1749.8099999999968
145,0.5,0.05,0.45,1736.0981000000002,1716.5299999999968
146,0.45,0.1,0.45,1690.1233000000002,1708.7699999999968
147,0.4,0.15,0.45,1640.8000000000002,1657.969999999997
148,0.35,0.2,0.45,1584.315,1597.9099999999971
149,0.3,0.25,0.45,1517.5754000000002,1544.679999999997
150,0.25,0.3,0.45,1438.1574999999998,1493.0999999999974
151,0.2,0.35,0.45,1351.2608999999998,1419.3299999999974
152,0.15,0.4,0.45,1380.8018000000002,1389.9399999999973
153,0.1,0.45,0.45,1408.9857000000002,1400.7499999999973
154,0.05,0.5,0.45,1495.0470999999998,1519.489999999997
155,0.0,0.55,0.45,1613.1738,1667.529999999997
156,0.5,0.0,0.5,1813.3375999999998,1810.5899999999967
157,0.45,0.05,0.5,1761.7103000000002,1773.5099999999968
158,0.4,0.1,0.5,1701.2118999999998,1710.6899999999969
159,0.35,0.15,0.5,1629.3132999999998,1656.189999999997
160,0.3,0.2,0.5,1544.4452,1575.029999999997
161,0.25,0.25,0.5,1446.2685000000001,1547.569999999997
162,0.2,0.3,0.5,1409.8559999999998,1480.1699999999973
163,0.15,0.35,0.5,1491.7105999999999,1540.1099999999972
164,0.1,0.4,0.5,1580.6417000000001,1574.989999999997
165,0.05,0.45,0.5,1675.5639999999999,1565.3699999999972
166,0.0,0.5,0.5,1775.8656,1819.3199999999968
167,0.45,0.0,0.55,1789.5495,1785.9749999999967
168,0.4,0.05,0.55,1731.4926999999998,1700.4399999999969
169,0.35,0.1,0.55,1654.6289000000002,1663.039999999997
170,0.3,0.15,0.55,,
171,0.25,0.2,0.55,1538.1169,1564.1299999999972
172,0.2,0.25,0.55,1593.9298,1513.0799999999972
173,0.15,0.3,0.55,1658.6026000000002,1511.7699999999975
174,0.05,0.4,0.55,1808.6239,1585.449999999997
175,0.4,0.0,0.6,1729.6143000000002,1726.3699999999967
176,0.3,0.1,0.6,1670.0187,1642.179999999997
177,0.25,0.15,0.6,1696.9313000000002,1566.634999999997
178,0.0,0.4,0.6,1986.7199,1867.8899999999967
179,0.35,0.0,0.65,1820.1803,1823.0299999999968
180,0.3,0.05,0.65,1813.0665,1696.5159997558562
181,0.25,0.1,0.65,1822.3029000000001,1649.6279992675752
182,0.2,0.15,0.65,1845.0113000000001,1558.4509997558564
183,0.15,0.2,0.65,1878.1518,1551.789999999997
184,0.1,0.25,0.65,1918.9965000000002,1543.319999999997
185,0.05,0.3,0.65,1978.4607,1530.749999999997
186,0.0,0.35,0.65,2071.5985,1809.0399999999968
187,0.3,0.0,0.7,1931.5969999999998,1891.3349999999964
188,0.25,0.05,0.7,1922.4097000000002,1681.7579992675749
189,0.2,0.1,0.7,1928.0187,1666.576999511716
190,0.15,0.15,0.7,1945.4503,1562.559999999997
191,0.05,0.25,0.7,2046.2919000000002,1549.679999999997
192,0.0,0.3,0.7,2131.5452999999998,1736.8249999999969
193,0.25,0.0,0.75,2026.4849,1910.6299999999965
194,0.2,0.05,0.75,2012.7676000000001,1709.4419995117155
195,0.15,0.1,0.75,2019.9011,1684.5299999999968
196,0.1,0.15,0.75,2046.5396999999998,1569.289999999997
197,0.05,0.2,0.75,2092.9211,1566.759999999997
198,0.0,0.25,0.75,2170.5166,1742.4399999999969
199,0.2,0.0,0.8,2102.8373,1967.6699999999964
200,0.15,0.05,0.8,2084.4084,1762.8699999999967
201,0.1,0.1,0.8,2090.2542,1725.1399999999967
202,0.05,0.15,0.8,2121.1953,1631.1299999999967
203,0.0,0.2,0.8,2189.8478999999998,1770.6399999999967
204,0.15,0.0,0.85,2151.2867,1953.0599999999965
205,0.05,0.1,0.85,2132.1697,1793.7899999999968
206,0.0,0.15,0.85,2187.429,1875.1649999999966
207,0.1,0.0,0.9,2167.8885999999998,1958.1799999999964
208,0.05,0.05,0.9,2126.576,1859.8749999999968
209,0.0,0.1,0.9,2153.9353,1880.6480004882778
210,0.05,0.0,0.95,2129.42,1958.9649999999965
211,0.0,0.05,0.95,2053.0481,1901.4049999999966
212,0.0,0.0,1.0,1995.9859000000001,1815.2449999999967
